gene_id	description
LOC409117	vacuolar protein sorting-associated protein 16 homolog
LOC409118	translation initiation factor eIF-2B subunit alpha
LOC409119	REST corepressor 3
LOC409122	solute carrier family 25 member 36-A
LOC409124	twisted gastrulation protein homolog 1-A
LOC409125	mitogen-activated protein kinase kinase kinase 4
LOC409126	ras-related protein Rab-2
LOC409127	tyrosine-protein kinase Abl
LOC409129	"28S ribosomal protein S10, mitochondrial-like"
LOC409130	"iron-sulfur cluster assembly enzyme ISCU, mitochondrial"
LOC409131	monocarboxylate transporter 12-like
LOC409132	sorting nexin-12
LOC409134	T-complex protein 1 subunit alpha
LOC409136	72 kDa inositol polyphosphate 5-phosphatase
LOC409137	MAP kinase-activating death domain protein
LOC409138	synaptotagmin 7
LOC409139	uncharacterized LOC409139
LOC409140	transcription elongation factor B polypeptide 1
LOC409141	sugar transporter SWEET1
LOC409142	sodium- and chloride-dependent transporter XTRP3
LOC409143	venom serine protease 34
LOC409144	H(+)/Cl(-) exchange transporter 3
LOC409145	zinc transporter ZIP9
LOC409150	"enoyl Coenzyme A hydratase, short chain, 1, mitochondrial"
LOC409151	ataxin-2-like protein
LOC409152	NCK-interacting protein with SH3 domain
LOC409153	zinc finger protein 423-like
LOC409154	sorting nexin-30-like
LOC409155	"dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial-like"
LOC409157	"succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial"
LOC409158	C-terminal-binding protein
LOC409159	G-protein coupled receptor moody
LOC409160	dihydropteridine reductase
LOC409162	retinoid-inducible serine carboxypeptidase-like
LOC409163	uncharacterized LOC409163
LOC409164	uncharacterized LOC409164
LOC409165	calreticulin
LOC409166	E3 ubiquitin-protein ligase TRIM23-like
LOC409167	translation elongation factor 2
LOC409168	26S proteasome non-ATPase regulatory subunit 13
LOC409169	mRNA export factor
LOC409170	polycomb protein suz12-B
LOC409171	esterase FE4-like
LOC409172	xaa-Pro aminopeptidase 1-like
LOC409173	esterase FE4-like
LOC409174	"mannosyl-oligosaccharide alpha-1,2-mannosidase IA"
LOC409176	pro-resilin
LOC409177	kinase D-interacting substrate of 220 kDa
LOC409178	ATP-dependent zinc metalloprotease YME1 homolog
LOC409179	4-hydroxybutyrate coenzyme A transferase-like
LOC409180	4-hydroxybutyrate coenzyme A transferase-like
LOC409182	protein GDAP2 homolog
LOC409183	sialin-like
LOC409184	DENN domain-containing protein 1B
LOC409185	uncharacterized LOC409185
LOC409186	vam6/Vps39-like protein
LOC409187	MD-2-related lipid-recognition protein-like
LOC409189	growth hormone-inducible transmembrane protein-like
LOC409191	SUMO-activating enzyme subunit 2
LOC409192	probable phospholipid-transporting ATPase VD
LOC409193	microtubule-associated serine/threonine-protein kinase 3
LOC409195	MIP18 family protein CG30152
LOC409196	alanine aminotransferase 1
LOC409197	protein Dr1
LOC409198	26S protease regulatory subunit 6A-B
LOC409199	glycerol kinase
LOC409200	uncharacterized protein DDB_G0289975
LOC409201	acyl-protein thioesterase 1
LOC409202	40S ribosomal protein S9
LOC409203	UDP-glucuronosyltransferase 2A3-like
LOC409204	trypsin
LOC409206	tripartite motif-containing protein 2-like
LOC409207	synaptic vesicle membrane protein VAT-1 homolog-like
LOC409208	bumetanide-sensitive sodium-(potassium)-chloride cotransporter
LOC409212	cadherin-87A
LOC409217	guanine nucleotide exchange factor DBS-like
LOC409218	neural Wiskott-Aldrich syndrome protein
LOC409219	phospholipase A-2-activating protein
LOC409221	uncharacterized LOC409221
LOC409222	cyclin G
LOC409225	NEDD8-conjugating enzyme Ubc12
LOC409226	FAS-associated factor 1
LOC409228	scavenger receptor class B member 1
LOC409229	phosphorylated adapter RNA export protein
LOC409230	"arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2"
LOC409231	dipeptidase 1-like
LOC409232	uncharacterized LOC409232
LOC409234	S-phase kinase-associated protein 1
LOC409235	neurotrimin-like
LOC409236	"ATP synthase subunit O, mitochondrial"
LOC409238	43 kDa receptor-associated protein of the synapse homolog
LOC409240	HMG box-containing protein 4
LOC409241	prohormone-4
LOC409242	protein PRRC2C-like
LOC409243	A-kinase anchor protein 9
LOC409244	2-phosphoxylose phosphatase 1
LOC409245	"beta-1,4-glucuronyltransferase 1"
LOC409246	MAP kinase-activated protein kinase 2
LOC409247	transcription factor IIIB 90 kDa subunit
LOC409249	uncharacterized LOC409249
LOC409250	beta-ureidopropionase
LOC409251	BRCA1-associated protein
LOC409252	uncharacterized LOC409252
LOC409253	"glutamate dehydrogenase, mitochondrial"
LOC409254	protein RTF2 homolog
LOC409255	active breakpoint cluster region-related protein
LOC409256	armadillo repeat-containing protein 5
LOC409257	uncharacterized LOC409257
LOC409258	eukaryotic translation initiation factor 3 subunit I
LOC409259	protein abrupt
LOC409260	short-chain dehydrogenase/reductase family 16C member 6
LOC409261	glycerol kinase-like
LOC409262	uncharacterized protein C7orf26 homolog
LOC409263	glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1
LOC409264	ATPase ASNA1 homolog
LOC409265	dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A
LOC409267	glycogen phosphorylase
LOC409268	uncharacterized LOC409268
LOC409269	"39S ribosomal protein L43, mitochondrial"
LOC409270	glycerol-3-phosphate acyltransferase 4
LOC409271	mediator of RNA polymerase II transcription subunit 12
LOC409272	TP53-regulating kinase
LOC409273	midnolin-B
LOC409274	rab11 family-interacting protein 4
LOC409276	phosphatidylinositol 5-phosphate 4-kinase type-2 alpha
LOC409277	acidic phospholipase A2 PA4
LOC409278	apolipoprotein D
LOC409279	cullin-4A
LOC409280	CCR4-NOT transcription complex subunit 10
LOC409281	protein sel-1 homolog 1-like
LOC409282	bromodomain-containing protein DDB_G0280777-like
LOC409283	"splicing factor, arginine/serine-rich 15"
LOC409285	myosin heavy chain 95F
LOC409286	stress-activated protein kinase JNK
LOC409288	tribbles homolog 2
LOC409290	60S ribosomal protein L14
LOC409291	protein fem-1 homolog CG6966
LOC409292	"probable isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial"
LOC409293	uncharacterized LOC409293
LOC409294	60S ribosomal protein L23
LOC409295	mitochondrial ubiquitin ligase activator of nfkb 1
LOC409296	T-complex protein 1 subunit gamma
LOC409298	sulfatase-modifying factor 1
LOC409299	adenylosuccinate synthetase
LOC409300	uncharacterized LOC409300
LOC409301	protein mothers against dpp
LOC409303	E3 ubiquitin-protein ligase MIB2
LOC409305	elongation factor-like GTPase 1
LOC409306	"2-oxoisovalerate dehydrogenase subunit beta, mitochondrial"
LOC409307	uncharacterized LOC409307
LOC409308	small ubiquitin-related modifier-like
LOC409310	CSC1-like protein 2
LOC409311	zinc finger CCCH domain-containing protein 15 homolog
LOC409312	collagen type IV alpha-3-binding protein
LOC409313	actin-related protein 2
LOC409314	prohormone-2
LOC409315	PRKCA-binding protein
LOC409316	coronin-2B-like
LOC409317	nitrogen permease regulator 2-like protein
LOC409318	Kv channel-interacting protein 2-like
LOC409320	leucine carboxyl methyltransferase 1
LOC409321	mothers against decapentaplegic homolog 4
LOC409322	uncharacterized LOC409322
LOC409323	uncharacterized LOC409323
LOC409324	short-chain-enoyl-CoA hydratase-like
LOC409325	uncharacterized LOC409325
LOC409326	40S ribosomal protein S2
LOC409327	uncharacterized LOC409327
LOC409329	mannose-1-phosphate guanyltransferase beta
LOC409331	YEATS domain-containing protein 2
LOC409332	ubiquitin carboxyl-terminal hydrolase 7
LOC409333	CAAX prenyl protease 2
LOC409334	beta-mannosidase
LOC409335	probable serine hydrolase
LOC409336	sialin
LOC409337	zinc finger MIZ domain-containing protein 1
LOC409340	UV excision repair protein RAD23 homolog B
LOC409341	lysosomal aspartic protease
LOC409342	ADP-ribosylation factor-related protein 1
LOC409346	TBC1 domain family member 1
LOC409347	U4/U6.U5 tri-snRNP-associated protein 1
LOC409348	lethal(2) giant larvae protein homolog 1
LOC409350	zinc finger Ran-binding domain-containing protein 2-like
LOC409351	islet cell autoantigen 1
LOC409353	WD repeat-containing protein 43
LOC409355	glutaredoxin 3
LOC409357	COP9 signalosome complex subunit 1
LOC409358	intraflagellar transport protein 74 homolog
LOC409359	cytoskeleton-associated protein 5
LOC409360	fatty acid hydroxylase domain-containing protein 2
LOC409361	dopamine N-acetyltransferase
LOC409362	fasciculation and elongation protein zeta-2
LOC409363	gamma-soluble NSF attachment protein
LOC409364	CD2-associated protein
LOC409365	lysosomal alpha-glucosidase-like
LOC409366	integral membrane protein 2C
LOC409367	calcyphosin-like protein
LOC409368	interferon-related developmental regulator 1-like
LOC409369	brain protein I3
LOC409370	brefeldin A-inhibited guanine nucleotide-exchange protein 1
LOC409371	intraflagellar transport protein 172 homolog
LOC409373	transmembrane protein 184B
LOC409377	transitional endoplasmic reticulum ATPase TER94
LOC409378	uncharacterized LOC409378
LOC409379	eukaryotic translation initiation factor 4H
LOC409382	E3 ubiquitin-protein ligase TRIP12
LOC409383	matrix metalloproteinase-2
LOC409384	"60 kDa heat shock protein, mitochondrial-like"
LOC409385	E3 ubiquitin-protein ligase HECW2
LOC409386	ubiquitin-conjugating enzyme E2 N
LOC409387	ubiquitin carboxyl-terminal hydrolase
LOC409388	ras-related protein Rab-18-B
LOC409389	ubiquitin specific protease-like
LOC409390	cAMP-dependent protein kinase type II regulatory subunit
LOC409392	ATPase WRNIP1-like
LOC409393	serine/threonine-protein kinase mTOR
LOC409394	NEDD8-activating enzyme E1 catalytic subunit
LOC409395	MATH and LRR domain-containing protein PFE0570w-like
LOC409396	eukaryotic translation initiation factor 4E-binding protein Mextli
LOC409397	signal peptidase complex catalytic subunit SEC11A
LOC409401	cyclic AMP-responsive element-binding protein 1
LOC409402	uncharacterized LOC409402
LOC409403	ubiquitin carboxyl-terminal hydrolase 30 homolog
LOC409404	aminoacyl tRNA synthetase complex-interacting multifunctional protein 2-like
LOC409405	baculoviral IAP repeat-containing protein 5
LOC409406	probable nuclear transport factor 2
LOC409408	nuclear valosin-containing protein-like
LOC409409	serine/threonine-protein kinase ICK
LOC409410	plasminogen activator inhibitor 1 RNA-binding protein-like
LOC409411	transmembrane protein 41 homolog
LOC409414	kinectin
LOC409417	RING finger protein 10
LOC409420	"cytochrome c oxidase assembly protein COX11, mitochondrial"
LOC409422	uncharacterized LOC409422
LOC409423	male-specific lethal 1 homolog
LOC409424	"solute carrier family 2, facilitated glucose transporter member 1-like"
LOC409425	hemocyte protein-glutamine gamma-glutamyltransferase-like
LOC409427	peptidyl-prolyl cis-trans isomerase E-like
LOC409429	meiosis arrest female protein 1
LOC409430	serine/threonine-protein phosphatase alpha-2 isoform
LOC409433	protein RCC2 homolog
LOC409435	phosphatidylinositol-binding clathrin assembly protein LAP
LOC409438	tumor susceptibility gene 101 protein
LOC409439	protein transport protein Sec24C
LOC409440	UPF0668 protein C10orf76 homolog
LOC409441	transmembrane protein 53
LOC409442	protein NipSnap
LOC409443	serine/threonine-protein phosphatase 2A activator
LOC409444	AMP deaminase 2
LOC409447	DNA repair and recombination protein RAD54-like
LOC409448	collagen alpha-2(IX) chain-like
LOC409450	guanine nucleotide-binding protein subunit beta-like protein
LOC409451	thioredoxin-2
LOC409452	maltase A2-like
LOC409454	glucose-induced degradation protein 8 homolog
LOC409455	doublesex- and mab-3-related transcription factor A2-like
LOC409456	AT-rich interactive domain-containing protein 4B
LOC409457	eIF-2-alpha kinase activator GCN1
LOC409459	"lon protease homolog, mitochondrial"
LOC409460	bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase
LOC409462	cyclin-dependent kinase 10
LOC409463	WD repeat-containing protein 63-like
LOC409465	uncharacterized LOC409465
LOC409467	sodium-coupled monocarboxylate transporter 2-like
LOC409468	A disintegrin and metalloproteinase with thrombospondin motifs 8
LOC409470	zinc finger protein 271-like
LOC409472	protein Smaug homolog 1
LOC409473	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8
LOC409474	laminin subunit gamma-1
LOC409475	26S proteasome non-ATPase regulatory subunit 2
LOC409476	nuclear cap-binding protein subunit 1
LOC409479	60S ribosomal protein L6
LOC409481	ADP-ribosylation factor 1
LOC409483	protein lin-54 homolog
LOC409485	cytoplasmic aconitate hydratase-like
LOC409486	RNA-binding protein 4.1-like
LOC409487	probable glutamine-dependent NAD(+) synthetase
LOC409488	protein-L-isoaspartate(D-aspartate) O-methyltransferase-like
LOC409489	diphosphoinositol polyphosphate phosphohydrolase 1
LOC409491	transmembrane protein 183B
LOC409492	slowpoke-binding protein
LOC409493	zinc finger protein 569-like
LOC409494	"methylglutaconyl-CoA hydratase, mitochondrial"
LOC409495	lysosome-associated membrane glycoprotein 1
LOC409497	zinc finger CCCH domain-containing protein 18-like
LOC409498	kinase suppressor of Ras 2
LOC409499	UDP-glucose 4-epimerase-like
LOC409500	mitochondrial import receptor subunit TOM22 homolog
LOC409501	SWI/SNF complex subunit SMARCC1-like
LOC409502	uncharacterized LOC409502
LOC409504	flocculation protein FLO11-like
LOC409505	cysteine-rich hydrophobic domain-containing protein 2
LOC409508	S-adenosylmethionine mitochondrial carrier protein-like
LOC409510	uncharacterized LOC409510
LOC409511	tetraspanin-1
LOC409512	neural/ectodermal development factor IMP-L2
LOC409513	CD9 antigen
LOC409514	uncharacterized LOC409514
LOC409515	long-chain-fatty-acid--CoA ligase 4
LOC409517	digestive cysteine proteinase 1
LOC409518	uncharacterized LOC409518
LOC409520	glucosamine-6-phosphate isomerase
LOC409521	hsp70-binding protein 1
LOC409522	cell division cycle protein 27 homolog
LOC409523	mitogen-activated protein kinase 1
LOC409525	oxysterol-binding protein-related protein 2
LOC409527	TBC domain-containing protein kinase-like protein
LOC409528	60S ribosomal protein L7a
LOC409529	ras-like protein 2
LOC409530	unconventional myosin-Ie-like
LOC409531	NECAP-like protein CG9132
LOC409532	NAD-dependent protein deacetylase Sirt2
LOC409533	annexin B9-like
LOC409534	uncharacterized LOC409534
LOC409536	arginine-glutamic acid dipeptide repeats protein
LOC409538	lysoplasmalogenase-like protein TMEM86A
LOC409539	microtubule-associated protein tau-like
LOC409540	MOB kinase activator-like 1
LOC409543	importin subunit alpha-7
LOC409544	ruvB-like 1
LOC409546	lachesin
LOC409547	NSFL1 cofactor p47-like
LOC409548	drebrin-like protein
LOC409549	"succinate dehydrogenase cytochrome b560 subunit, mitochondrial"
LOC409550	eukaryotic translation initiation factor 3 subunit D
LOC409552	40S ribosomal protein S10-like
LOC409553	pancreatic triacylglycerol lipase-like
LOC409554	intersectin-2
LOC409556	protein SMG7-like
LOC409557	protein maelstrom
LOC409558	polyadenylate-binding protein 2-B
LOC409559	probable protein S-acyltransferase 23
LOC409560	eukaryotic translation initiation factor 4B
LOC409563	uncharacterized LOC409563
LOC409564	ubiquitin conjugation factor E4 A
LOC409565	cationic amino acid transporter 3
LOC409566	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1
LOC409569	uncharacterized LOC409569
LOC409571	Golgi reassembly-stacking protein 2
LOC409572	TWiK family of potassium channels protein 7-like
LOC409573	zinc finger protein 2 homolog
LOC409574	"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase"
LOC409576	spastin
LOC409577	5'-AMP-activated protein kinase catalytic subunit alpha-2
LOC409578	adapter molecule Crk
LOC409579	Fanconi anemia group M protein
LOC409581	F-actin-capping protein subunit beta
LOC409584	UBX domain-containing protein 6
LOC409586	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9
LOC409588	putative thiamine transporter SLC35F3
LOC409589	60S ribosomal protein L10
LOC409590	cyclin-dependent kinase 1
LOC409593	zinc finger MYND domain-containing protein 11
LOC409594	dnaJ homolog dnj-5
LOC409595	uncharacterized LOC409595
LOC409596	uncharacterized LOC409596
LOC409598	uncharacterized LOC409598
LOC409599	60S ribosomal protein L35a
LOC409600	SPRY domain-containing protein 7
LOC409602	circadian clock-controlled protein-like
LOC409603	coiled-coil domain-containing protein 142
LOC409604	nostrin
LOC409606	uncharacterized LOC409606
